Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded
Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded
nginx,library,Official,stable-perl,2024-05-15T23:54:23Z,sha256:3083ef7ca8bc4f7dc24596382092ae5e53d1169a6e706b83c2b448d044919ba3,82586435,19893,11023339754,0001-01-01T00:00:00Z
nginx,library,Official,stable-bookworm-perl,2024-05-15T23:54:19Z,sha256:3083ef7ca8bc4f7dc24596382092ae5e53d1169a6e706b83c2b448d044919ba3,82586435,19893,11023339754,0001-01-01T00:00:00Z
nginx,library,Official,perl,2024-05-15T23:53:53Z,sha256:b71dc9ffd57defe8371f41ec1c716ae55439b323ee7dcd22a14d6fbdc7c33de4,82586686,19893,11023339754,0001-01-01T00:00:00Z
nginx,library,Official,mainline-perl,2024-05-15T23:53:49Z,sha256:b71dc9ffd57defe8371f41ec1c716ae55439b323ee7dcd22a14d6fbdc7c33de4,82586686,19893,11023339754,0001-01-01T00:00:00Z
nginx,library,Official,mainline-bookworm-perl,2024-05-15T23:53:44Z,sha256:b71dc9ffd57defe8371f41ec1c716ae55439b323ee7dcd22a14d6fbdc7c33de4,82586686,19893,11023339754,0001-01-01T00:00:00Z
node,library,Official,lts-slim,2024-05-29T00:09:43Z,sha256:a16301294ba66d2ad22d3beded4a52720f96ab208c1db0973c034d0127a4ccb0,71419541,13473,5135094352,0001-01-01T00:00:00Z
node,library,Official,lts-iron,2024-05-29T00:09:41Z,sha256:ab71b9da5ba19445dc5bb76bf99c218941db2c4d70ff4de4e0d9ec90920bfe3f,398243334,13473,5135094352,0001-01-01T00:00:00Z
node,library,Official,lts-buster-slim,2024-05-29T00:09:38Z,sha256:75933708a8f307cff235f27d02e550b10ec9e5c9b5d54b03c7db41a760edc0c4,69601863,13473,5135094352,0001-01-01T00:00:00Z
node,library,Official,lts-buster,2024-05-29T00:09:37Z,sha256:8576a77ba8e731e75903759be17142eef992fb608f37d7bccfa825fbfc0a794d,361363265,13473,5135094352,0001-01-01T00:00:00Z
node,library,Official,lts-bullseye-slim,2024-05-29T00:09:36Z,sha256:5be4cb4c24c619d16401edff5035f647dcb570d99192d534a98c12ca35041007,73748843,13473,5135094352,0001-01-01T00:00:00Z
mysql,library,Official,8.0.37-debian,2024-05-14T18:02:27Z,sha256:1579fe3a97a436cc10824fc771a07fcedc92213e7ab7604eb5d2976ca419abc8,184723442,15109,4291352757,0001-01-01T00:00:00Z
mysql,library,Official,8.0.37-bookworm,2024-05-14T18:02:26Z,sha256:1579fe3a97a436cc10824fc771a07fcedc92213e7ab7604eb5d2976ca419abc8,184723442,15109,4291352757,0001-01-01T00:00:00Z
mysql,library,Official,8.0-debian,2024-05-14T18:02:22Z,sha256:1579fe3a97a436cc10824fc771a07fcedc92213e7ab7604eb5d2976ca419abc8,184723442,15109,4291352757,0001-01-01T00:00:00Z
mysql,library,Official,8.0-bookworm,2024-05-14T18:02:20Z,sha256:1579fe3a97a436cc10824fc771a07fcedc92213e7ab7604eb5d2976ca419abc8,184723442,15109,4291352757,0001-01-01T00:00:00Z
mysql,library,Official,oraclelinux9,2024-05-10T03:02:57Z,sha256:4a4e5e2a19aab7a67870588952e8f401e17a330466ecfc55c9acf51196da5bd0,168706003,15109,4291352757,0001-01-01T00:00:00Z
wordpress,library,Official,php8.3-fpm-alpine,2024-05-23T10:16:59Z,sha256:2d8f6c1fea05dad7edea97309e9bea19ba61ba25c0f5af2b9fc06b6f835c12f9,89106887,5584,1374979734,0001-01-01T00:00:00Z
wordpress,library,Official,php8.2-fpm-alpine,2024-05-23T10:16:46Z,sha256:72a66125f87b2d477b72b084a918ab8275a508f219b81a437464f914fdbbdd1e,88513764,5584,1374979734,0001-01-01T00:00:00Z
wordpress,library,Official,php8.1-fpm-alpine,2024-05-23T10:16:33Z,sha256:2a423fd6674cb5247b8216f57031fb5635540ce0611e6f196c42112651b83175,87988067,5584,1374979734,0001-01-01T00:00:00Z
wordpress,library,Official,fpm-alpine,2024-05-23T10:16:17Z,sha256:72a66125f87b2d477b72b084a918ab8275a508f219b81a437464f914fdbbdd1e,88513764,5584,1374979734,0001-01-01T00:00:00Z
wordpress,library,Official,cli-php8.3,2024-05-23T10:16:10Z,sha256:14d4d1176a987cba67427654e73e5f593a7eeaba40bb49f536c051a8fe403479,67659828,5584,1374979734,0001-01-01T00:00:00Z
postgres,library,Official,alpine3.20,2024-05-23T11:13:07Z,sha256:e89da2c083a5405943408b6807cd1fd25dc9010c1294e30611b841778bedc653,95742473,13438,8628333586,0001-01-01T00:00:00Z
postgres,library,Official,alpine,2024-05-23T11:13:02Z,sha256:e89da2c083a5405943408b6807cd1fd25dc9010c1294e30611b841778bedc653,95742473,13438,8628333586,0001-01-01T00:00:00Z
postgres,library,Official,16.3-alpine3.20,2024-05-23T11:12:53Z,sha256:e89da2c083a5405943408b6807cd1fd25dc9010c1294e30611b841778bedc653,95742473,13438,8628333586,0001-01-01T00:00:00Z
postgres,library,Official,16.3-alpine,2024-05-23T11:12:48Z,sha256:e89da2c083a5405943408b6807cd1fd25dc9010c1294e30611b841778bedc653,95742473,13438,8628333586,0001-01-01T00:00:00Z
postgres,library,Official,16-alpine3.20,2024-05-23T11:12:36Z,sha256:e89da2c083a5405943408b6807cd1fd25dc9010c1294e30611b841778bedc653,95742473,13438,8628333586,0001-01-01T00:00:00Z
redis,library,Official,alpine3.20,2024-05-29T04:06:57Z,sha256:52feec9e3be7fd87b86ff8ffd4eeec4c7b8f4243bc09ff173ecef6c77b78b33a,16779376,12836,8665672638,0001-01-01T00:00:00Z
redis,library,Official,alpine,2024-05-29T04:06:53Z,sha256:52feec9e3be7fd87b86ff8ffd4eeec4c7b8f4243bc09ff173ecef6c77b78b33a,16779376,12836,8665672638,0001-01-01T00:00:00Z
redis,library,Official,7.2.5-alpine3.20,2024-05-29T04:06:46Z,sha256:52feec9e3be7fd87b86ff8ffd4eeec4c7b8f4243bc09ff173ecef6c77b78b33a,16779376,12836,8665672638,0001-01-01T00:00:00Z
redis,library,Official,7.2.5-alpine,2024-05-29T04:06:42Z,sha256:52feec9e3be7fd87b86ff8ffd4eeec4c7b8f4243bc09ff173ecef6c77b78b33a,16779376,12836,8665672638,0001-01-01T00:00:00Z
redis,library,Official,7.2-alpine3.20,2024-05-29T04:06:34Z,sha256:52feec9e3be7fd87b86ff8ffd4eeec4c7b8f4243bc09ff173ecef6c77b78b33a,16779376,12836,8665672638,0001-01-01T00:00:00Z
mongo,library,Official,windowsservercore-ltsc2022,2024-05-16T01:11:03Z,sha256:a38af72a6cde3a2068ddc142e72462ccb09fc563640a6c22394e8bc9b4885132,2730855601,10251,4342804313,0001-01-01T00:00:00Z
mongo,library,Official,windowsservercore-1809,2024-05-16T01:11:03Z,sha256:c8f16e3177130319836f1af307fddd0095d86f722131454662c90d61c3d59a99,2798043607,10251,4342804313,0001-01-01T00:00:00Z
mongo,library,Official,windowsservercore,2024-05-16T01:11:02Z,sha256:6ad69f3d9ba33de51d8cdc860c3cc2e70dcb7552e95aa991a298fe549dfe952d,2730855601,10251,4342804313,0001-01-01T00:00:00Z
mongo,library,Official,nanoserver-ltsc2022,2024-05-16T01:11:01Z,sha256:944c119405065fdf6c4d5011001165b22e0ef328a4a22cba350adb9f0a070bef,737966110,10251,4342804313,0001-01-01T00:00:00Z
mongo,library,Official,nanoserver-1809,2024-05-16T01:11:00Z,sha256:a77acee7cb93ef190b6a301d4a3d1c18532975897f98b5e0ff4c66044fe8689c,773647247,10251,4342804313,0001-01-01T00:00:00Z
ruby,library,Official,3.1.5-alpine3.20,2024-05-29T05:58:32Z,sha256:1211633790f90131e47aa87bb04dd7b9088368593d1a4120316e62ef091c9e6f,39908288,2327,1223953108,0001-01-01T00:00:00Z
